ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",76197,0.0131,0.9244,0.0267,0.0489,67163,0.4403,0.5597,0.1856,0.3288,0.0538,0.0129,0.0024,
"2",79915,0.0625,0.8763,0.0624,0.0613,75259,0.6814,0.3186,0.0887,0.1263,0.1031,0.0079,0.0018,
"3",77152,0.0257,0.8556,0.0788,0.0655,67044,0.7845,0.2155,0.0731,0.0582,0.0823,0.0062,0.0015,
"4",75773,0.0074,0.926,0.0331,0.0409,60571,0.2007,0.7993,0.1655,0.6236,0.0217,0.0132,0.0055,
"5",74308,-0.0121,0.9272,0.0286,0.0442,61576,0.1675,0.8325,0.0571,0.761,0.0209,0.0128,0.0017,
"6",76598,0.0184,0.875,0.0519,0.0731,66717,0.4991,0.5009,0.0472,0.4025,0.0518,0.0115,0.0017,
"7",71068,-0.0551,0.9558,0.0159,0.0283,53243,0.0172,0.9828,0.0214,0.9613,0.0038,0.011,0.001,
"8",70712,-0.0599,0.957,0.0168,0.0263,49335,0.0365,0.9635,0.017,0.9445,0.0067,0.0086,0.0011,
"",75215,0.1224,0.9086,0.0409,0.0505,62614,0.3832,0.6168,0.0853,0.4886,0.0469,0.0105,0.0021,
