ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",157284,0.0002,0.6824,0.2987,0.0188,122252,0.6746,0.3254,0.0735,0.0313,0.187,0.0229,0.0074,
"2",157437,0.0012,0.3986,0.5812,0.0202,118264,0.7163,0.2837,0.0871,0.0596,0.0754,0.0455,0.0252,
"3",157244,0,0.5965,0.3874,0.0161,125230,0.8049,0.1951,0.0595,0.0369,0.0401,0.0452,0.0104,
"4",157261,0.0001,0.3873,0.594,0.0186,121889,0.8512,0.1488,0.0509,0.0212,0.029,0.0352,0.0074,
"5",157378,0.0008,0.5533,0.4286,0.0181,118049,0.7313,0.2687,0.0648,0.0246,0.1455,0.0255,0.0065,
"6",157252,0,0.425,0.558,0.017,122031,0.8083,0.1917,0.0572,0.0325,0.0428,0.0447,0.0135,
"7",157313,0.0004,0.3311,0.6575,0.0114,122435,0.7595,0.2405,0.1239,0.0075,0.0142,0.0857,0.0036,
"8",157223,-0.0002,0.3537,0.6295,0.0168,114196,0.6865,0.3135,0.2137,0.0215,0.0428,0.0314,0.0058,
"9",157117,-0.0008,0.4007,0.5834,0.0158,125656,0.8015,0.1985,0.0848,0.0225,0.0526,0.0328,0.0061,
"10",157261,0.0001,0.4978,0.484,0.0182,126071,0.7935,0.2065,0.0773,0.0274,0.0527,0.039,0.0085,
"11",157228,-0.0001,0.6814,0.3028,0.0158,123867,0.4302,0.5698,0.1284,0.1274,0.2859,0.0283,0.017,
"12",157096,-0.001,0.4739,0.5096,0.0166,121529,0.7448,0.2552,0.1599,0.0153,0.0403,0.0318,0.0057,
"13",157368,0.0007,0.3463,0.6423,0.0114,116095,0.6294,0.3706,0.2978,0.0136,0.0236,0.0381,0.004,
"14",157373,0.0008,0.5451,0.4465,0.0085,106821,0.257,0.743,0.6479,0.0141,0.0151,0.0932,0.003,
"15",157122,-0.0008,0.3611,0.6267,0.0122,117189,0.6313,0.3687,0.2947,0.0137,0.0224,0.0416,0.0033,
"16",157165,-0.0005,0.395,0.5869,0.0181,121384,0.679,0.321,0.2245,0.0255,0.0362,0.0336,0.0064,
"17",157283,0.0002,0.5085,0.476,0.0155,121430,0.7629,0.2371,0.0846,0.0253,0.0815,0.0325,0.0118,
"18",157261,0.0001,0.4811,0.5032,0.0157,119539,0.7802,0.2198,0.0851,0.0281,0.0622,0.0326,0.0123,
"19",157236,-0.0001,0.4141,0.5714,0.0145,125140,0.8138,0.1862,0.0775,0.0163,0.025,0.0554,0.0081,
"20",157345,0.0006,0.3432,0.6435,0.0133,119266,0.8469,0.1531,0.0681,0.0104,0.0231,0.0389,0.0049,
"21",157212,-0.0002,0.6548,0.3274,0.0178,124223,0.5937,0.4063,0.1072,0.0651,0.2004,0.0264,0.0126,
"22",157257,0,0.6514,0.3276,0.021,124667,0.7295,0.2705,0.0797,0.0484,0.0932,0.0385,0.017,
"23",157258,0,0.6167,0.3625,0.0209,125082,0.7475,0.2525,0.0743,0.0395,0.0887,0.0408,0.016,
"24",157233,-0.0001,0.5348,0.4516,0.0136,131609,0.8284,0.1716,0.0517,0.013,0.0259,0.0702,0.0051,
"25",157268,0.0001,0.47,0.5101,0.0199,119285,0.6954,0.3046,0.096,0.0653,0.091,0.0388,0.022,
"26",157227,-0.0002,0.4934,0.4854,0.0213,125634,0.7836,0.2164,0.0676,0.0368,0.0616,0.0359,0.0152,
"27",157239,-0.0001,0.6864,0.2954,0.0182,127327,0.6409,0.3591,0.0931,0.1155,0.1063,0.0375,0.022,
"28",157289,0.0002,0.5684,0.4109,0.0207,120747,0.5689,0.4311,0.1261,0.1409,0.1221,0.0328,0.0325,
"29",157054,-0.0013,0.5913,0.3901,0.0186,118573,0.4881,0.5119,0.1514,0.1499,0.1467,0.0486,0.044,
"30",157277,0.0002,0.5895,0.3934,0.0171,120031,0.466,0.534,0.1727,0.1305,0.1764,0.0353,0.0393,
"31",157211,-0.0003,0.4302,0.552,0.0178,118197,0.7567,0.2433,0.0774,0.036,0.0694,0.0472,0.0151,
"32",157211,-0.0003,0.7435,0.2402,0.0162,127128,0.613,0.387,0.0967,0.0744,0.1835,0.0287,0.01,
"33",157256,0,0.6785,0.3062,0.0153,122933,0.4565,0.5435,0.1756,0.1476,0.1741,0.0341,0.0303,
"34",157234,-0.0001,0.8274,0.1601,0.0125,127978,0.622,0.378,0.1175,0.0847,0.1432,0.0327,0.0107,
"35",157268,0.0001,0.4665,0.5141,0.0194,126753,0.7965,0.2035,0.0723,0.023,0.0444,0.052,0.011,
"36",157250,0,0.8798,0.1078,0.0124,133538,0.7243,0.2757,0.0635,0.0325,0.1509,0.0207,0.0053,
"37",157247,0,0.8871,0.1033,0.0096,129010,0.3938,0.6062,0.0848,0.1896,0.3144,0.0252,0.0096,
"38",157215,-0.0002,0.5706,0.4087,0.0207,122634,0.6576,0.3424,0.1301,0.0516,0.0996,0.0557,0.014,
"39",157306,0.0004,0.4345,0.545,0.0205,119257,0.7983,0.2017,0.0808,0.02,0.0498,0.0395,0.0075,
"40",157261,0.0001,0.6604,0.3227,0.0169,128373,0.7842,0.2158,0.1079,0.0157,0.0516,0.0308,0.0068,
"41",157234,-0.0001,0.6948,0.29,0.0152,119168,0.547,0.453,0.051,0.0283,0.3558,0.0131,0.0047,
"42",157263,0.0001,0.5178,0.4656,0.0165,123433,0.7622,0.2378,0.0962,0.0177,0.0612,0.0553,0.0072,
"43",157247,0,0.8974,0.0896,0.013,145451,0.606,0.394,0.072,0.0546,0.2452,0.0191,0.0062,
"44",157248,0,0.5636,0.4169,0.0195,117387,0.6668,0.3332,0.0705,0.0305,0.1981,0.0228,0.0075,
"45",157270,0.0001,0.6801,0.3025,0.0174,118356,0.6468,0.3532,0.0658,0.0257,0.2345,0.017,0.0043,
"46",157255,0,0.8798,0.1071,0.0131,131442,0.6415,0.3585,0.0747,0.0561,0.2005,0.0225,0.0063,
"47",157240,-0.0001,0.568,0.415,0.017,119577,0.5341,0.4659,0.1113,0.0951,0.2183,0.0288,0.0245,
"48",157252,0,0.7041,0.2787,0.0172,125223,0.4918,0.5082,0.0674,0.0293,0.393,0.0127,0.0043,
"49",157252,0,0.5967,0.3856,0.0177,123340,0.7082,0.2918,0.1359,0.0462,0.0586,0.0393,0.0202,
"",157251,0.0024,0.5695,0.4139,0.0166,122953,0.6736,0.3264,0.1146,0.05,0.1165,0.0373,0.0122,
