ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,1,0,0,0,0,0,0,0,0,0,0,
"1",59444,-0.0015,0.4386,0.5515,0.0099,48427,0.9391,0.0609,0.027,0.0064,0.0063,0.0143,0.0008,
"2",59983,0.0076,0.3917,0.596,0.0124,45212,0.9314,0.0686,0.0253,0.009,0.0128,0.0162,0.0004,
"3",59173,-0.006,0.3854,0.6035,0.0111,44983,0.9083,0.0917,0.041,0.009,0.022,0.0148,0.0009,
"4",60096,0.0095,0.3654,0.6229,0.0117,46280,0.9223,0.0777,0.0198,0.0096,0.0132,0.0285,0.0004,
"5",59076,-0.0077,0.3996,0.5884,0.012,44923,0.8707,0.1293,0.0265,0.0104,0.0192,0.072,0.0009,
"6",59188,-0.0058,0.3526,0.6381,0.0093,45850,0.8388,0.1612,0.0219,0.0058,0.0051,0.1255,0.0009,
"7",59100,-0.0073,0.5839,0.4001,0.016,46041,0.6566,0.3434,0.2001,0.0714,0.0546,0.0288,0.0014,
"8",59362,-0.0029,0.81,0.1774,0.0126,40439,0.1984,0.8016,0.659,0.1102,0.0374,0.0431,0.0017,
"9",59571,0.0006,0.721,0.2642,0.0149,42238,0.3098,0.6902,0.5296,0.0959,0.0604,0.0421,0.0017,
"10",59503,-0.0005,0.849,0.1399,0.0111,45220,0.4358,0.5642,0.0505,0.4719,0.0361,0.0146,0.0013,
"11",59565,0.0005,0.8878,0.1036,0.0086,41166,0.1448,0.8552,0.0446,0.7328,0.0777,0.0139,0.0014,
"12",59351,-0.003,0.7856,0.2024,0.0119,42610,0.2969,0.7031,0.0524,0.5701,0.0767,0.0146,0.0014,
"13",59887,0.006,0.5519,0.4325,0.0156,46383,0.8488,0.1512,0.0331,0.0483,0.0549,0.0107,0.0011,
"14",59463,-0.0012,0.5416,0.4385,0.0199,47815,0.7676,0.2324,0.1081,0.0672,0.0337,0.0272,0.0012,
"15",59411,-0.002,0.4054,0.5813,0.0133,46760,0.8364,0.1636,0.0406,0.0212,0.0862,0.0096,0.0008,
"16",59714,0.003,0.9,0.0863,0.0136,45615,0.3203,0.6797,0.0708,0.5413,0.0625,0.0166,0.0016,
"17",59435,-0.0016,0.8402,0.1494,0.0104,43760,0.291,0.709,0.0445,0.6181,0.0425,0.0148,0.0014,
"18",59346,-0.0031,0.833,0.1533,0.0137,43972,0.3607,0.6393,0.0632,0.5257,0.0441,0.0185,0.0014,
"19",59320,-0.0036,0.7987,0.18,0.0213,55412,0.7838,0.2162,0.0667,0.0719,0.0552,0.014,0.0018,
"20",59200,-0.0056,0.6015,0.3817,0.0169,48163,0.8059,0.1941,0.1082,0.0404,0.0212,0.0252,0.001,
"21",59343,-0.0032,0.5233,0.4612,0.0156,46426,0.76,0.24,0.1135,0.0436,0.064,0.0204,0.0011,
"22",59167,-0.0061,0.424,0.5613,0.0147,45904,0.9184,0.0816,0.0219,0.0165,0.026,0.0114,0.001,
"23",59097,-0.0073,0.6139,0.3729,0.0133,45756,0.7909,0.2091,0.0344,0.1027,0.0556,0.0085,0.0011,
"24",59858,0.0055,0.4066,0.5794,0.014,46818,0.8628,0.1372,0.0257,0.0399,0.055,0.0119,0.001,
"25",59611,0.0013,0.429,0.5535,0.0175,47409,0.8801,0.1199,0.0417,0.018,0.0353,0.0194,0.0007,
"26",59217,-0.0053,0.5148,0.4681,0.0172,45459,0.7736,0.2264,0.0885,0.0294,0.0882,0.0183,0.0016,
"27",60058,0.0088,0.3489,0.6379,0.0132,47890,0.9271,0.0729,0.0266,0.018,0.0123,0.0112,0.0006,
"28",59628,0.0016,0.3664,0.6166,0.0171,44606,0.9328,0.0672,0.0206,0.0099,0.0111,0.0154,0.0008,
"29",59983,0.0076,0.3983,0.5888,0.013,46148,0.9125,0.0875,0.0566,0.0058,0.0056,0.0169,0.0009,
"30",59314,-0.0037,0.4804,0.5004,0.0192,46155,0.9147,0.0853,0.0269,0.0158,0.0171,0.0174,0.0014,
