ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,1,0,0,0,0,0,0,0,0,0,0,
"1",178600,0,0.4065,0.5825,0.0111,138622,0.9266,0.0734,0.031,0.0081,0.0135,0.0151,0.0007,
"2",178360,-0.0013,0.3725,0.6164,0.0111,137053,0.8774,0.1226,0.0227,0.0086,0.0124,0.0752,0.0007,
"3",178033,-0.0032,0.6735,0.3116,0.0149,128718,0.3988,0.6012,0.4524,0.0916,0.0511,0.0377,0.0016,
"4",178419,-0.001,0.8408,0.1486,0.0106,128996,0.2971,0.7029,0.0493,0.5876,0.0628,0.0144,0.0013,
"5",178761,0.0009,0.4973,0.4868,0.0159,140958,0.8172,0.1828,0.061,0.0457,0.0581,0.0159,0.001,
"6",178495,-0.0006,0.8545,0.133,0.0125,133347,0.324,0.676,0.0597,0.5613,0.0499,0.0166,0.0015,
"7",177863,-0.0041,0.6461,0.3359,0.018,150001,0.7835,0.2165,0.0945,0.053,0.047,0.0196,0.0013,
"8",178122,-0.0027,0.4821,0.5039,0.014,138478,0.8575,0.1425,0.0273,0.0529,0.0456,0.0106,0.001,
"9",178886,0.0016,0.4227,0.5616,0.0157,140758,0.8617,0.1383,0.0517,0.0217,0.0446,0.0163,0.001,
"10",178925,0.0018,0.4172,0.5663,0.0165,136909,0.9199,0.0801,0.0349,0.0105,0.0113,0.0166,0.001,
"11",177921,-0.0038,0.3697,0.6163,0.0141,139936,0.879,0.121,0.0741,0.0119,0.0119,0.017,0.0008,
"12",179426,0.0046,0.3725,0.6175,0.01,147090,0.9315,0.0685,0.015,0.0057,0.0068,0.034,0.0009,
"13",178652,0.0003,0.3588,0.6294,0.0118,141533,0.8918,0.1082,0.0503,0.0281,0.0086,0.0157,0.0008,
"14",178351,-0.0014,0.5307,0.4569,0.0124,139260,0.8968,0.1032,0.0419,0.0204,0.0153,0.0192,0.0011,
"15",178585,-0.0001,0.566,0.4185,0.0155,139484,0.8279,0.1721,0.0784,0.0535,0.0176,0.0193,0.0012,
"16",177313,-0.0072,0.6488,0.3372,0.014,137206,0.8303,0.1697,0.0631,0.0502,0.0385,0.0151,0.0011,
"17",178093,-0.0028,0.5389,0.4476,0.0135,137984,0.9351,0.0649,0.0254,0.0119,0.009,0.0122,0.0008,
"18",178722,0.0007,0.5408,0.4411,0.0181,141269,0.8398,0.1602,0.0503,0.039,0.0454,0.0216,0.0015,
"19",179618,0.0057,0.3755,0.6126,0.0119,140998,0.9171,0.0829,0.0324,0.0108,0.0186,0.0157,0.0006,
"20",178127,-0.0026,0.3193,0.6685,0.0121,140204,0.9081,0.0919,0.0411,0.0183,0.013,0.0154,0.0008,
"21",179184,0.0033,0.503,0.4837,0.0133,139923,0.74,0.26,0.1086,0.0976,0.0371,0.0191,0.0011,
"22",179562,0.0054,0.5592,0.4273,0.0135,139507,0.6896,0.3104,0.1449,0.1233,0.0252,0.0212,0.0013,
"23",179916,0.0074,0.3483,0.6414,0.0103,138442,0.9305,0.0695,0.0259,0.0123,0.0069,0.0163,0.0012,
"24",178599,0,0.4573,0.5298,0.0129,142138,0.9019,0.0981,0.0274,0.0188,0.0209,0.0259,0.0012,
"25",178879,0.0016,0.4605,0.5286,0.0109,144476,0.8983,0.1017,0.0141,0.0091,0.0068,0.0642,0.001,
"26",178964,0.0021,0.8536,0.1314,0.015,151576,0.7384,0.2616,0.0727,0.0749,0.095,0.0171,0.0016,
"27",179647,0.0059,0.7588,0.2278,0.0134,141303,0.8011,0.1989,0.0547,0.0456,0.0827,0.0129,0.0009,
"28",177766,-0.0047,0.3742,0.6112,0.0146,139889,0.8741,0.1259,0.0606,0.018,0.0274,0.0139,0.001,
"29",178059,-0.003,0.4135,0.5751,0.0114,138817,0.904,0.096,0.0205,0.0104,0.0438,0.0157,0.001,
"30",179103,0.0028,0.5151,0.4681,0.0168,138446,0.771,0.229,0.1042,0.0465,0.0371,0.0438,0.0014,
"31",178440,-0.0009,0.5274,0.4562,0.0164,140901,0.9031,0.0969,0.0214,0.0151,0.0368,0.0162,0.0012,
"32",178485,-0.0006,0.5382,0.4461,0.0157,139517,0.9066,0.0934,0.0244,0.0178,0.0322,0.0131,0.001,
"33",177842,-0.0042,0.3125,0.6754,0.0121,138561,0.9327,0.0673,0.0259,0.0079,0.0149,0.011,0.0008,
"",178598,0.0146,0.5046,0.4818,0.0136,139767,0.8183,0.1817,0.0616,0.0642,0.0318,0.0216,0.0011,
